county,department_code,department_name,section,fund_name,fund_category,fiscal_year,amount,program_name,positions,source
honolulu,bfs,Budget and Fiscal Services,Operating,Community Development Fund,Federal Funds,2027,1296562.0,Fiscal/CIP Administration,,data.honolulu.gov/puaw-t6sa
honolulu,bfs,Budget and Fiscal Services,Operating,Community Development Fund,Federal Funds,2027,72180.0,Accounting and Fiscal Services,,data.honolulu.gov/puaw-t6sa
honolulu,hfd,Fire,Operating,General Fund,General Fund,2027,324497.0,City Radio System,,data.honolulu.gov/puaw-t6sa
honolulu,dcs,Community Services,Operating,Special Projects Fund,Special / Enterprise Funds,2027,11404992.0,Elderly Affairs,,data.honolulu.gov/puaw-t6sa
honolulu,dpr,Parks and Recreation,Operating,General Fund,General Fund,2027,25973541.0,Recreation Services,,data.honolulu.gov/puaw-t6sa
honolulu,dpr,Parks and Recreation,Operating,Hanauma Bay Nature Preserve Fund,Special / Enterprise Funds,2027,4135973.0,Recreation Services,,data.honolulu.gov/puaw-t6sa
honolulu,pat,Prosecuting Attorney,Operating,Federal Grants Fund,Federal Funds,2027,697133.0,Victim/Witness Assistance,,data.honolulu.gov/puaw-t6sa
honolulu,hfd,Fire,Operating,General Fund,General Fund,2027,1806763.0,Radio Shop,,data.honolulu.gov/puaw-t6sa
honolulu,bfs,Budget and Fiscal Services,Operating,Liquor Commission Fund,Special / Enterprise Funds,2027,5517492.0,Liquor Commission,,data.honolulu.gov/puaw-t6sa
honolulu,hpd,Police,Operating,General Fund,General Fund,2027,17014120.0,Special Field Operations,,data.honolulu.gov/puaw-t6sa
honolulu,dhr,Human Resources,Operating,General Fund,General Fund,2027,2031197.0,Administration,,data.honolulu.gov/puaw-t6sa
honolulu,dts,Transportation Services,Operating,Federal Grants Fund,Federal Funds,2027,21000000.0,Transportation Mobility,,data.honolulu.gov/puaw-t6sa
honolulu,hpd,Police,Operating,General Fund,General Fund,2027,9993582.0,Office of the Chief of Police,,data.honolulu.gov/puaw-t6sa
honolulu,hfd,Fire,Operating,General Fund,General Fund,2027,4059653.0,Mechanic Shop,,data.honolulu.gov/puaw-t6sa
honolulu,hpd,Police,Operating,Highway Fund,Special / Enterprise Funds,2027,18457799.0,Investigations,,data.honolulu.gov/puaw-t6sa
honolulu,dpr,Parks and Recreation,Operating,General Fund,General Fund,2027,47531239.0,Grounds Maintenance,,data.honolulu.gov/puaw-t6sa
